formula,MUC,time(ms),binary,binaryuc
pltl-12-0-6-3-0-200003.alaska,['(false R (((X p5) | (X p7)) | (X (! p4))))'],0,0,0
pltl-12-0-12-3-0-200007.alaska,['(false R (((X (! p7)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-58-3-0-200006.alaska,['(false R (((X (! p6)) | (X (! p11))) | (X (! p1))))'],0,20,10
pltl-5-0-32-3-0-200005.alaska,['(false R (((X (! p3)) | (X p4)) | (X p1)))'],0,0,0
pltl-12-0-14-3-0-200005.alaska,['(false R (((X (! p11)) | (X (! p12))) | (X (! p3))))'],0,0,0
pltl-12-0-7-3-0-200005.alaska,['(false R (((X (! p12)) | (X (! p10))) | (X p5)))'],0,0,0
pltl-5-0-22-3-0-200002.alaska,['(false R (((X (! p1)) | (X p3)) | (X (! p2))))'],0,0,0
pltl-12-0-47-3-0-200002.alaska,['(false R (((X (! p3)) | (X (! p4))) | (X (! p12))))'],0,10,10
pltl-12-0-19-3-0-200006.alaska,['(false R (((X (! p4)) | (X p5)) | (X (! p11))))'],0,0,0
phltl_25_24.alaska,"['(false R (true U p7))', '(false R ((! p7) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p7))))))))))))))))))))))))))']",0,1620,680
pltl-12-0-40-3-0-200007.alaska,['(false R (((X p11) | (X p7)) | (X p10)))'],0,0,0
pltl-12-0-53-3-0-200003.alaska,['(false R (((X (! p4)) | (X (! p8))) | (X (! p10))))'],0,20,30
pltl-5-0-18-3-0-200000.alaska,['(false R (((X (! p5)) | (X (! p3))) | (X p4)))'],0,0,0
pltl-5-0-11-3-0-200000.alaska,['(false R (((X (! p2)) | (X (! p4))) | (X p3)))'],0,0,0
pltl-12-0-22-3-0-200009.alaska,['(false R (((X (! p3)) | (X p2)) | (X p7)))'],0,0,0
pltl-5-0-35-3-0-200005.alaska,['(false R (((X (! p3)) | (X p2)) | (X (! p5))))'],0,0,0
pltl-5-0-32-3-0-200000.alaska,['(false R (((X (! p4)) | (X p3)) | (X p5)))'],0,0,0
pltl-5-0-17-3-0-200003.alaska,['(false R (((X p5) | (X p4)) | (X p2)))'],0,0,0
pltl-5-0-4-3-0-200009.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],0,0,0
pltl-12-0-16-3-0-200002.alaska,['(false R (((X p6) | (X (! p8))) | (X (! p4))))'],0,0,0
pltl-5-0-15-3-0-200005.alaska,['(false R (((X p5) | (X (! p1))) | (X p2)))'],0,0,0
pltl-12-0-1-3-0-200008.alaska,['(false R (((X p1) | (X p2)) | (X p10)))'],0,0,0
pltl-12-0-47-3-0-200008.alaska,['(false R (((X p7) | (X p10)) | (X (! p6))))'],0,10,10
pltl-5-0-19-3-0-200007.alaska,['(false R (((X p1) | (X p3)) | (X (! p2))))'],0,0,0
demo-v3_cl_9.alaska,"['(false R (true U req8))', '(false R ((! req8) | (((X grant8) | (X (X grant8))) | (X (X (X grant8))))))']",0,20,0
pltl-12-0-9-3-0-200005.alaska,['(false R (((X p11) | (X p2)) | (X p1)))'],0,0,0
pltl-5-0-12-3-0-200001.alaska,['(false R (((X p4) | (X (! p2))) | (X (! p3))))'],0,0,0
pltl-5-0-22-3-0-200005.alaska,['(false R (((X (! p2)) | (X p3)) | (X p4)))'],0,0,0
pltl-12-0-22-3-0-200007.alaska,['(false R (((X (! p3)) | (X p8)) | (X (! p10))))'],0,0,0
pltl-12-0-10-3-0-200004.alaska,['(false R (((X (! p12)) | (X p6)) | (X (! p10))))'],0,0,0
phltl_9_8.alaska,"['(false R ((! p9) | (X (X (X (X (X (X (X (X p9))))))))))', '(false R (true U p9))']",0,50,30
unsat210.txt,"['(false R ((! delivered) | ((! send) U ack)))', '((false R ((! ack) & delivered)) | (false R (X ((! ack) & send))))']",0,0,0
pltl-5-0-3-3-0-200002.alaska,['(false R (((X (! p4)) | (X p2)) | (X p1)))'],0,0,0
pltl-12-0-39-3-0-200005.alaska,['(false R (((X (! p6)) | (X p10)) | (X (! p9))))'],0,0,10
pltl-12-0-11-3-0-200005.alaska,['(false R (((X (! p3)) | (X (! p10))) | (X (! p8))))'],0,0,0
pltl-5-0-10-3-0-200009.alaska,['(false R (((X p2) | (X (! p3))) | (X p4)))'],0,0,0
pltl-5-0-21-3-0-200005.alaska,['(false R (((X (! p4)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-2-3-0-200004.alaska,['(false R (((X (! p3)) | (X (! p8))) | (X p12)))'],0,0,0
pltl-5-0-10-3-0-200003.alaska,['(false R (((X p5) | (X p4)) | (X p2)))'],0,0,0
pltl-5-0-20-3-0-200001.alaska,['(false R (((X p4) | (X (! p1))) | (X (! p5))))'],0,0,0
pltl-12-0-45-3-0-200007.alaska,['(false R (((X (! p8)) | (X p1)) | (X (! p6))))'],0,10,10
pltl-5-0-40-3-0-200003.alaska,['(false R (((X (! p5)) | (X p3)) | (X (! p4))))'],0,0,0
pltl-12-0-47-3-0-200007.alaska,['(false R (((X (! p12)) | (X p1)) | (X p7)))'],0,10,20
pltl-12-0-44-3-0-200001.alaska,['(false R (((X (! p12)) | (X (! p6))) | (X (! p10))))'],0,0,10
pltl-12-0-5-3-0-200005.alaska,['(false R (((X p2) | (X (! p4))) | (X p3)))'],0,0,0
pltl-12-0-16-3-0-200007.alaska,['(false R (((X (! p2)) | (X p1)) | (X p12)))'],0,0,0
pltl-5-0-13-3-0-200004.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],0,0,0
pltl-12-0-26-3-0-200006.alaska,['(false R (((X (! p1)) | (X p3)) | (X p8)))'],0,0,0
pltl-5-0-4-3-0-200007.alaska,['(false R (((X p1) | (X p3)) | (X p5)))'],0,0,0
unsat4.txt,"['(false R ((r & (X p)) | (false R (r & (true U q)))))', '(false R ((! q) | s))', '(false R ((! r) | (false R (! s))))']",0,0,0
pltl-12-0-53-3-0-200004.alaska,['(false R (((X (! p7)) | (X (! p9))) | (X p4)))'],0,20,20
pltl-5-0-13-3-0-200000.alaska,['(false R (((X (! p4)) | (X (! p3))) | (X (! p1))))'],0,0,0
pltl-5-0-2-3-0-200002.alaska,['(false R (((X (! p5)) | (X (! p2))) | (X p4)))'],0,0,0
pltl-12-0-4-3-0-200006.alaska,['(false R (((X p1) | (X (! p5))) | (X (! p4))))'],0,0,0
pltl-5-0-40-3-0-200000.alaska,['(false R (((X (! p1)) | (X p3)) | (X (! p4))))'],0,0,0
pltl-12-0-33-3-0-200000.alaska,['(false R (((X p4) | (X p5)) | (X p9)))'],0,0,0
pltl-12-0-37-3-0-200000.alaska,['(false R (((X p1) | (X (! p9))) | (X (! p6))))'],0,0,10
pltl-12-0-38-3-0-200003.alaska,['(false R (((X (! p4)) | (X (! p9))) | (X p3)))'],0,0,0
pltl-5-0-32-3-0-200006.alaska,['(false R (((X (! p3)) | (X p5)) | (X p1)))'],0,0,0
pltl-12-0-14-3-0-200006.alaska,['(false R (((X p11) | (X p5)) | (X (! p6))))'],0,0,0
pltl-12-0-11-3-0-200009.alaska,['(false R (((X (! p6)) | (X (! p9))) | (X p3)))'],0,0,0
pltl-5-0-13-3-0-200005.alaska,['(false R (((X p1) | (X p2)) | (X p3)))'],0,0,0
pltl-5-0-30-3-0-200001.alaska,['(false R (((X p5) | (X (! p2))) | (X p3)))'],0,0,0
pltl-5-0-35-3-0-200006.alaska,['(false R (((X p5) | (X (! p1))) | (X (! p4))))'],0,0,0
pltl-5-0-4-3-0-200004.alaska,['(false R (((X p2) | (X p4)) | (X (! p1))))'],0,0,0
pltl-12-0-5-3-0-200009.alaska,['(false R (((X p8) | (X (! p11))) | (X (! p3))))'],0,0,0
pltl-5-0-1-3-0-200009.alaska,['(false R (((X p3) | (X (! p4))) | (X (! p1))))'],0,0,0
pltl-12-0-53-3-0-200002.alaska,['(false R (((X p1) | (X (! p7))) | (X p8)))'],0,10,20
phltl_19_18.alaska,"['(false R (true U p18))', '(false R ((! p18) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p18))))))))))))))))))))']",0,560,190
pltl-12-0-42-3-0-200000.alaska,['(false R (((X (! p5)) | (X (! p6))) | (X p3)))'],0,0,10
pltl-12-0-4-3-0-200003.alaska,['(false R (((X (! p8)) | (X (! p3))) | (X p11)))'],0,0,0
pltl-12-0-5-3-0-200002.alaska,['(false R (((X p8) | (X (! p2))) | (X p10)))'],0,0,0
pltl-5-0-17-3-0-200001.alaska,['(false R (((X (! p2)) | (X p3)) | (X (! p5))))'],0,0,0
pltl-5-0-27-3-0-200003.alaska,['(false R (((X (! p2)) | (X (! p1))) | (X p5)))'],0,0,0
pltl-5-0-10-3-0-200006.alaska,['(false R (((X (! p5)) | (X (! p3))) | (X p2)))'],0,0,0
pltl-5-0-23-3-0-200006.alaska,['(false R (((X (! p1)) | (X p2)) | (X p4)))'],0,0,0
pltl-5-0-35-3-0-200004.alaska,['(false R (((X p4) | (X p3)) | (X p1)))'],0,0,0
pltl-5-0-5-3-0-200006.alaska,['(false R (((X (! p2)) | (X p1)) | (X (! p3))))'],0,0,0
pltl-5-0-3-3-0-200003.alaska,['(false R (((X p3) | (X (! p4))) | (X (! p2))))'],0,0,0
pltl-12-0-42-3-0-200005.alaska,['(false R (((X p3) | (X (! p12))) | (X p11)))'],0,10,0
pltl-5-0-27-3-0-200002.alaska,['(false R (((X p2) | (X p1)) | (X p5)))'],0,0,0
pltl-5-0-11-3-0-200004.alaska,['(false R (((X (! p3)) | (X (! p2))) | (X (! p5))))'],0,0,0
pltl-12-0-19-3-0-200008.alaska,['(false R (((X (! p8)) | (X p10)) | (X (! p6))))'],0,0,0
pltl-5-0-25-3-0-200000.alaska,['(false R (((X (! p3)) | (X p4)) | (X p1)))'],0,0,0
pltl-12-0-58-3-0-200008.alaska,['(false R (((X (! p4)) | (X (! p3))) | (X p12)))'],0,10,10
unsat209.txt,"['(false R ((! send) | ((! ack) U delivered)))', '(false R ((X (false R ((! ack) & send))) | (false R ((! delivered) & send))))']",0,0,0
pltl-12-0-33-3-0-200005.alaska,['(false R (((X (! p6)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-14-3-0-200009.alaska,['(false R (((X (! p8)) | (X (! p5))) | (X (! p7))))'],0,0,0
pltl-5-0-12-3-0-200007.alaska,['(false R (((X p1) | (X (! p5))) | (X (! p3))))'],0,0,0
demo-v3_cl_7.alaska,"['(false R (true U req5))', '(false R ((! req5) | (((X grant5) | (X (X grant5))) | (X (X (X grant5))))))']",0,0,0
pltl-5-0-10-3-0-200008.alaska,['(false R (((X p4) | (X p1)) | (X (! p5))))'],0,0,0
pltl-12-0-49-3-0-200007.alaska,['(false R (((X p8) | (X (! p11))) | (X (! p6))))'],0,10,10
pltl-5-0-23-3-0-200008.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-5-0-15-3-0-200000.alaska,['(false R (((X p2) | (X (! p3))) | (X p4)))'],0,0,0
pltl-5-0-16-3-0-200005.alaska,['(false R (((X p3) | (X p2)) | (X (! p5))))'],0,0,0
pltl-5-0-23-3-0-200009.alaska,['(false R (((X p4) | (X (! p5))) | (X p1)))'],0,0,0
unsat3.txt,"['(false R ((! q) | s))', '(false R ((p & r) | (X (false R (p & (X (! q)))))))', '(false R ((! r) | (false R (! s))))', '(false R ((! p) | (true U q)))']",0,0,10
pltl-5-0-40-3-0-200002.alaska,['(false R (((X (! p3)) | (X p2)) | (X (! p1))))'],0,0,0
pltl-12-0-19-3-0-200000.alaska,['(false R (((X p9) | (X p5)) | (X (! p1))))'],0,0,0
pltl-5-0-20-3-0-200007.alaska,['(false R (((X p4) | (X (! p5))) | (X p3)))'],0,0,0
pltl-12-0-19-3-0-200007.alaska,['(false R (((X (! p12)) | (X (! p10))) | (X p9)))'],0,0,0
pltl-12-0-12-3-0-200002.alaska,['(false R (((X (! p5)) | (X p11)) | (X (! p7))))'],0,0,0
pltl-12-0-5-3-0-200004.alaska,['(false R (((X p12) | (X (! p8))) | (X p6)))'],0,0,0
pltl-5-0-21-3-0-200008.alaska,['(false R (((X p3) | (X p5)) | (X p4)))'],0,0,0
pltl-12-0-10-3-0-200001.alaska,['(false R (((X (! p6)) | (X (! p11))) | (X (! p2))))'],0,0,0
pltl-5-0-1-3-0-200003.alaska,['(false R (((X p4) | (X p3)) | (X (! p1))))'],0,0,0
pltl-5-0-22-3-0-200000.alaska,['(false R (((X p2) | (X p4)) | (X (! p1))))'],0,0,0
pltl-12-0-5-3-0-200000.alaska,['(false R (((X (! p3)) | (X (! p9))) | (X (! p4))))'],0,0,0
pltl-5-0-27-3-0-200000.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p5))))'],0,0,0
pltl-5-0-27-3-0-200008.alaska,['(false R (((X (! p5)) | (X p1)) | (X (! p2))))'],0,0,0
phltl_12_11.alaska,"['(false R (true U p5))', '(false R ((! p5) | (X (X (X (X (X (X (X (X (X (X (X p5)))))))))))))']",0,100,60
pltl-5-0-15-3-0-200007.alaska,['(false R (((X p5) | (X p1)) | (X (! p4))))'],0,0,0
phltl_27_26.alaska,"['(false R (true U p4))', '(false R ((! p4) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p4))))))))))))))))))))))))))))']",0,2530,1310
pltl-5-0-22-3-0-200003.alaska,['(false R (((X p5) | (X (! p2))) | (X p3)))'],0,0,0
pltl-12-0-49-3-0-200008.alaska,['(false R (((X (! p1)) | (X p9)) | (X (! p3))))'],0,10,10
pltl-12-0-11-3-0-200007.alaska,['(false R (((X p7) | (X (! p10))) | (X p4)))'],0,0,0
pltl-12-0-9-3-0-200003.alaska,['(false R (((X (! p11)) | (X p3)) | (X p12)))'],0,0,0
unsat106.txt,['((false R (X (h & (X (! p))))) | (false R (true U (m & (X p)))))'],0,0,0
pltl-5-0-32-3-0-200002.alaska,['(false R (((X p1) | (X p2)) | (X p3)))'],0,0,0
pltl-5-0-2-3-0-200003.alaska,['(false R (((X (! p5)) | (X p1)) | (X p3)))'],0,0,0
pltl-5-0-17-3-0-200008.alaska,['(false R (((X p5) | (X p3)) | (X p2)))'],0,0,0
phltl_3_2.alaska,"['(false R (true U p1))', '(false R ((! p1) | (X (X p1))))']",0,10,0
pltl-5-0-35-3-0-200009.alaska,['(false R (((X p4) | (X p1)) | (X (! p2))))'],0,0,0
pltl-5-0-11-3-0-200001.alaska,['(false R (((X (! p2)) | (X (! p1))) | (X (! p5))))'],0,0,0
pltl-5-0-5-3-0-200008.alaska,['(false R (((X p1) | (X (! p4))) | (X (! p2))))'],0,0,0
pltl-5-0-5-3-0-200005.alaska,['(false R (((X (! p4)) | (X p2)) | (X (! p5))))'],0,0,0
pltl-12-0-44-3-0-200002.alaska,['(false R (((X p12) | (X p4)) | (X p3)))'],0,10,10
pltl-12-0-40-3-0-200002.alaska,['(false R (((X p8) | (X (! p10))) | (X (! p12))))'],0,0,10
pltl-12-0-14-3-0-200000.alaska,['(false R (((X p2) | (X p10)) | (X (! p9))))'],0,0,0
pltl-5-0-23-3-0-200003.alaska,['(false R (((X (! p2)) | (X (! p4))) | (X (! p3))))'],0,0,0
pltl-5-0-40-3-0-200005.alaska,['(false R (((X p5) | (X (! p3))) | (X p1)))'],0,0,10
pltl-12-0-40-3-0-200005.alaska,['(false R (((X p9) | (X p11)) | (X (! p6))))'],0,10,10
pltl-5-0-32-3-0-200007.alaska,['(false R (((X (! p4)) | (X (! p1))) | (X p3)))'],0,0,0
pltl-12-0-47-3-0-200000.alaska,['(false R (((X (! p3)) | (X p4)) | (X (! p6))))'],0,10,10
pltl-12-0-49-3-0-200005.alaska,['(false R (((X p10) | (X (! p1))) | (X (! p12))))'],0,10,10
pltl-5-0-22-3-0-200006.alaska,['(false R (((X p3) | (X p2)) | (X (! p4))))'],0,0,0
pltl-12-0-24-3-0-200002.alaska,['(false R (((X p11) | (X (! p1))) | (X p7)))'],0,0,0
pltl-12-0-58-3-0-200009.alaska,['(false R (((X (! p4)) | (X (! p6))) | (X (! p12))))'],0,20,10
pltl-5-0-32-3-0-200004.alaska,['(false R (((X (! p4)) | (X (! p2))) | (X p3)))'],0,0,0
pltl-12-0-10-3-0-200005.alaska,['(false R (((X p12) | (X p7)) | (X p10)))'],0,0,0
pltl-12-0-25-3-0-200009.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p10))))'],0,0,0
pltl-12-0-6-3-0-200006.alaska,['(false R (((X (! p12)) | (X p3)) | (X p11)))'],0,0,0
pltl-12-0-58-3-0-200000.alaska,['(false R (((X p9) | (X (! p8))) | (X (! p2))))'],0,20,20
pltl-5-0-19-3-0-200003.alaska,['(false R (((X p1) | (X p2)) | (X p5)))'],0,0,0
pltl-12-0-45-3-0-200002.alaska,['(false R (((X p5) | (X (! p12))) | (X (! p2))))'],0,10,10
pltl-5-0-20-3-0-200006.alaska,['(false R (((X (! p5)) | (X p2)) | (X (! p4))))'],0,0,0
pltl-5-0-25-3-0-200004.alaska,['(false R (((X (! p4)) | (X p5)) | (X (! p2))))'],0,0,0
pltl-5-0-25-3-0-200009.alaska,['(false R (((X p4) | (X (! p2))) | (X (! p5))))'],0,0,0
pltl-12-0-24-3-0-200008.alaska,['(false R (((X (! p5)) | (X p6)) | (X p12)))'],0,0,0
pltl-12-0-38-3-0-200008.alaska,['(false R (((X (! p11)) | (X p1)) | (X (! p10))))'],0,0,10
pltl-5-0-11-3-0-200005.alaska,['(false R (((X p5) | (X (! p4))) | (X p3)))'],0,0,0
pltl-5-0-30-3-0-200007.alaska,['(false R (((X (! p3)) | (X p5)) | (X (! p2))))'],0,0,0
pltl-12-0-16-3-0-200003.alaska,['(false R (((X (! p4)) | (X (! p7))) | (X (! p3))))'],0,0,0
pltl-5-0-23-3-0-200002.alaska,['(false R (((X (! p5)) | (X p2)) | (X (! p3))))'],0,0,0
pltl-5-0-30-3-0-200003.alaska,['(false R (((X p1) | (X p4)) | (X p5)))'],0,0,0
phltl_24_23.alaska,"['(false R (true U p8))', '(false R ((! p8) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p8)))))))))))))))))))))))))']",0,1390,560
pltl-5-0-27-3-0-200007.alaska,['(false R (((X (! p1)) | (X (! p5))) | (X p2)))'],0,0,0
pltl-12-0-58-3-0-200007.alaska,['(false R (((X (! p7)) | (X p12)) | (X p3)))'],0,10,20
pltl-12-0-22-3-0-200005.alaska,['(false R (((X (! p10)) | (X p11)) | (X p1)))'],0,0,0
pltl-12-0-33-3-0-200006.alaska,['(false R (((X p12) | (X p3)) | (X (! p7))))'],0,0,0
pltl-12-0-2-3-0-200002.alaska,['(false R (((X (! p3)) | (X (! p12))) | (X p1)))'],0,0,0
pltl-12-0-12-3-0-200005.alaska,['(false R (((X (! p4)) | (X p3)) | (X p6)))'],0,0,0
pltl-12-0-49-3-0-200009.alaska,['(false R (((X p5) | (X p2)) | (X p8)))'],0,0,10
phltl_6_5.alaska,"['(false R (true U p1))', '(false R ((! p1) | (X (X (X (X (X p1)))))))']",0,10,10
pltl-5-0-15-3-0-200008.alaska,['(false R (((X p5) | (X (! p1))) | (X (! p2))))'],0,0,0
pltl-5-0-19-3-0-200002.alaska,['(false R (((X p3) | (X (! p2))) | (X p5)))'],0,0,0
pltl-12-0-1-3-0-200007.alaska,['(false R (((X p5) | (X p3)) | (X (! p6))))'],0,0,0
phltl_29_28.alaska,"['(false R (true U p3))', '(false R ((! p3) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p3))))))))))))))))))))))))))))))']",0,3710,1760
pltl-12-0-13-3-0-200003.alaska,['(false R (((X p6) | (X p12)) | (X p11)))'],0,0,0
pltl-5-0-11-3-0-200009.alaska,['(false R (((X p5) | (X (! p3))) | (X (! p2))))'],0,0,0
pltl-12-0-24-3-0-200003.alaska,['(false R (((X p11) | (X (! p2))) | (X (! p6))))'],0,0,0
pltl-12-0-53-3-0-200009.alaska,['(false R (((X (! p9)) | (X p2)) | (X p5)))'],0,20,20
pltl-5-0-13-3-0-200003.alaska,['(false R (((X (! p2)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-12-3-0-200009.alaska,['(false R (((X (! p10)) | (X p8)) | (X p4)))'],0,0,0
pltl-12-0-39-3-0-200008.alaska,['(false R (((X p6) | (X p3)) | (X p12)))'],0,0,0
pltl-12-0-33-3-0-200009.alaska,['(false R (((X p2) | (X (! p1))) | (X p4)))'],0,0,10
pltl-12-0-42-3-0-200009.alaska,['(false R (((X p3) | (X (! p2))) | (X p12)))'],0,0,10
pltl-12-0-22-3-0-200000.alaska,['(false R (((X p10) | (X p1)) | (X p5)))'],0,0,0
phltl_8_7.alaska,"['(false R (true U p4))', '(false R ((! p4) | (X (X (X (X (X (X (X p4)))))))))']",0,40,30
pltl-12-0-38-3-0-200002.alaska,['(false R (((X p5) | (X p12)) | (X (! p4))))'],0,10,10
pltl-12-0-39-3-0-200002.alaska,['(false R (((X (! p8)) | (X p2)) | (X (! p7))))'],0,10,0
pltl-12-0-6-3-0-200008.alaska,['(false R (((X p7) | (X (! p3))) | (X (! p4))))'],0,0,0
pltl-5-0-15-3-0-200002.alaska,['(false R (((X p4) | (X p5)) | (X (! p2))))'],0,0,0
pltl-5-0-17-3-0-200004.alaska,['(false R (((X (! p5)) | (X p2)) | (X p1)))'],0,0,0
pltl-12-0-10-3-0-200008.alaska,['(false R (((X (! p6)) | (X (! p1))) | (X (! p12))))'],0,0,0
pltl-12-0-12-3-0-200001.alaska,['(false R (((X p6) | (X (! p10))) | (X (! p7))))'],0,0,0
pltl-5-0-1-3-0-200000.alaska,['(false R (((X (! p4)) | (X p2)) | (X p1)))'],0,0,0
pltl-12-0-37-3-0-200002.alaska,['(false R (((X p1) | (X p5)) | (X (! p2))))'],0,0,0
pltl-5-0-2-3-0-200008.alaska,['(false R (((X (! p2)) | (X p1)) | (X (! p5))))'],0,0,0
pltl-5-0-11-3-0-200006.alaska,['(false R (((X p1) | (X p3)) | (X p4)))'],0,0,0
pltl-12-0-30-3-0-200006.alaska,['(false R (((X (! p3)) | (X p2)) | (X p9)))'],0,0,0
pltl-5-0-40-3-0-200009.alaska,['(false R (((X (! p1)) | (X (! p3))) | (X (! p2))))'],0,0,10
pltl-5-0-13-3-0-200006.alaska,['(false R (((X (! p3)) | (X p4)) | (X p1)))'],0,0,0
pltl-12-0-37-3-0-200007.alaska,['(false R (((X (! p11)) | (X (! p6))) | (X (! p4))))'],0,0,10
pltl-12-0-6-3-0-200004.alaska,['(false R (((X (! p8)) | (X (! p4))) | (X p5)))'],0,0,0
pltl-12-0-42-3-0-200008.alaska,['(false R (((X (! p11)) | (X (! p6))) | (X (! p5))))'],0,10,10
pltl-12-0-10-3-0-200007.alaska,['(false R (((X (! p2)) | (X (! p8))) | (X p11)))'],0,0,0
pltl-12-0-11-3-0-200002.alaska,['(false R (((X (! p3)) | (X p2)) | (X p7)))'],0,0,0
pltl-5-0-5-3-0-200009.alaska,['(false R (((X p4) | (X p5)) | (X (! p2))))'],0,0,0
pltl-12-0-30-3-0-200003.alaska,['(false R (((X (! p10)) | (X p9)) | (X (! p8))))'],0,0,0
pltl-12-0-2-3-0-200001.alaska,['(false R (((X (! p12)) | (X p1)) | (X p7)))'],0,0,0
pltl-5-0-4-3-0-200000.alaska,['(false R (((X p1) | (X p4)) | (X (! p3))))'],0,0,0
pltl-5-0-27-3-0-200009.alaska,['(false R (((X p1) | (X (! p2))) | (X (! p5))))'],0,0,0
pltl-12-0-30-3-0-200001.alaska,['(false R (((X (! p4)) | (X p5)) | (X (! p11))))'],0,0,0
pltl-5-0-21-3-0-200003.alaska,['(false R (((X p3) | (X p2)) | (X (! p1))))'],0,0,0
pltl-5-0-12-3-0-200008.alaska,['(false R (((X p2) | (X (! p4))) | (X (! p1))))'],0,0,0
pltl-12-0-11-3-0-200003.alaska,['(false R (((X (! p11)) | (X (! p8))) | (X (! p1))))'],0,0,0
pltl-5-0-1-3-0-200004.alaska,['(false R (((X p3) | (X p5)) | (X p1)))'],0,0,0
pltl-5-0-4-3-0-200002.alaska,['(false R (((X p1) | (X p2)) | (X p4)))'],0,0,0
pltl-12-0-33-3-0-200008.alaska,['(false R (((X p5) | (X p12)) | (X p6)))'],0,0,0
pltl-5-0-25-3-0-200002.alaska,['(false R (((X (! p2)) | (X (! p1))) | (X (! p5))))'],0,0,0
pltl-5-0-19-3-0-200000.alaska,['(false R (((X (! p2)) | (X (! p3))) | (X p5)))'],0,0,0
pltl-12-0-37-3-0-200006.alaska,['(false R (((X (! p11)) | (X p3)) | (X (! p7))))'],0,0,10
pltl-5-0-12-3-0-200002.alaska,['(false R (((X p1) | (X (! p4))) | (X (! p5))))'],0,0,0
pltl-5-0-25-3-0-200001.alaska,['(false R (((X p1) | (X (! p5))) | (X (! p2))))'],0,0,0
demo-v3_cl_4.alaska,"['(false R (true U req4))', '(false R ((! req4) | (((X grant4) | (X (X grant4))) | (X (X (X grant4))))))']",0,10,0
pltl-12-0-42-3-0-200004.alaska,['(false R (((X (! p8)) | (X (! p1))) | (X p2)))'],0,10,10
pltl-12-0-11-3-0-200008.alaska,['(false R (((X p2) | (X (! p11))) | (X p12)))'],0,0,0
pltl-5-0-12-3-0-200006.alaska,['(false R (((X (! p1)) | (X (! p4))) | (X (! p5))))'],0,0,0
pltl-5-0-1-3-0-200007.alaska,['(false R (((X (! p2)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-5-0-5-3-0-200000.alaska,['(false R (((X p5) | (X (! p3))) | (X (! p1))))'],0,0,0
phltl_2_1.alaska,"['(false R (true U p1))', '(false R ((! p1) | (X p1)))']",0,10,0
pltl-5-0-18-3-0-200003.alaska,['(false R (((X (! p1)) | (X (! p2))) | (X (! p4))))'],0,0,0
pltl-12-0-53-3-0-200001.alaska,['(false R (((X p7) | (X (! p4))) | (X p6)))'],0,10,20
pltl-5-0-16-3-0-200002.alaska,['(false R (((X (! p3)) | (X (! p2))) | (X (! p4))))'],0,0,0
