formula,MUC,time(ms),binary,binaryuc
pltl-12-0-33-3-0-200001.alaska,['(false R (((X p12) | (X (! p8))) | (X p6)))'],0,0,0
pltl-12-0-47-3-0-200004.alaska,['(false R (((X (! p6)) | (X (! p9))) | (X p10)))'],0,10,10
phltl_13_12.alaska,"['(false R (true U p13))', '(false R ((! p13) | (X (X (X (X (X (X (X (X (X (X (X (X p13))))))))))))))']",0,70,60
pltl-12-0-30-3-0-200007.alaska,['(false R (((X (! p7)) | (X (! p10))) | (X p6)))'],0,0,0
pltl-5-0-2-3-0-200007.alaska,['(false R (((X (! p3)) | (X (! p4))) | (X p2)))'],0,0,0
pltl-12-0-7-3-0-200004.alaska,['(false R (((X p2) | (X p5)) | (X p8)))'],0,0,0
pltl-12-0-53-3-0-200005.alaska,['(false R (((X p6) | (X (! p2))) | (X p11)))'],0,20,20
pltl-12-0-45-3-0-200004.alaska,['(false R (((X p5) | (X p2)) | (X (! p7))))'],0,10,10
pltl-5-0-30-3-0-200000.alaska,['(false R (((X p5) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-5-0-10-3-0-200001.alaska,['(false R (((X (! p2)) | (X p1)) | (X p4)))'],0,0,0
phltl_23_22.alaska,"['(false R (true U p3))', '(false R ((! p3) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p3))))))))))))))))))))))))']",0,890,510
pltl-12-0-22-3-0-200002.alaska,['(false R (((X p7) | (X p9)) | (X (! p10))))'],0,0,0
phltl_4_3.alaska,"['(false R (true U p4))', '(false R ((! p4) | (X (X (X p4)))))']",0,10,0
pltl-12-0-44-3-0-200007.alaska,['(false R (((X p5) | (X (! p1))) | (X (! p9))))'],0,10,10
pltl-5-0-19-3-0-200009.alaska,['(false R (((X p3) | (X p5)) | (X p4)))'],0,0,0
pltl-12-0-45-3-0-200009.alaska,['(false R (((X (! p7)) | (X (! p1))) | (X p2)))'],0,10,10
pltl-12-0-13-3-0-200009.alaska,['(false R (((X p1) | (X (! p7))) | (X p4)))'],0,0,0
pltl-12-0-11-3-0-200001.alaska,['(false R (((X (! p12)) | (X p8)) | (X (! p6))))'],0,0,0
pltl-5-0-25-3-0-200008.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],0,0,0
pltl-12-0-4-3-0-200009.alaska,['(false R (((X p8) | (X p9)) | (X (! p12))))'],0,0,0
pltl-5-0-30-3-0-200002.alaska,['(false R (((X p2) | (X (! p1))) | (X p3)))'],0,0,0
pltl-5-0-25-3-0-200006.alaska,['(false R (((X p4) | (X (! p5))) | (X p2)))'],0,0,0
pltl-12-0-24-3-0-200000.alaska,['(false R (((X (! p1)) | (X (! p7))) | (X (! p10))))'],0,0,0
pltl-5-0-30-3-0-200004.alaska,['(false R (((X (! p4)) | (X (! p1))) | (X (! p3))))'],0,0,0
pltl-5-0-40-3-0-200006.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p4))))'],0,0,0
pltl-12-0-7-3-0-200002.alaska,['(false R (((X (! p9)) | (X p3)) | (X (! p10))))'],0,0,0
pltl-5-0-13-3-0-200009.alaska,['(false R (((X (! p5)) | (X (! p1))) | (X (! p4))))'],0,0,0
pltl-12-0-26-3-0-200001.alaska,['(false R (((X p10) | (X (! p9))) | (X (! p1))))'],0,0,0
pltl-12-0-45-3-0-200000.alaska,['(false R (((X p9) | (X p1)) | (X p10)))'],0,10,0
pltl-5-0-23-3-0-200005.alaska,['(false R (((X (! p3)) | (X (! p2))) | (X (! p5))))'],0,0,0
pltl-5-0-15-3-0-200006.alaska,['(false R (((X (! p3)) | (X (! p2))) | (X p5)))'],0,0,0
pltl-12-0-16-3-0-200006.alaska,['(false R (((X p12) | (X p3)) | (X (! p5))))'],0,0,0
pltl-12-0-38-3-0-200004.alaska,['(false R (((X (! p3)) | (X p6)) | (X p2)))'],0,0,10
pltl-5-0-2-3-0-200004.alaska,['(false R (((X p2) | (X p3)) | (X p5)))'],0,0,0
pltl-12-0-6-3-0-200007.alaska,['(false R (((X p4) | (X p1)) | (X p8)))'],0,0,0
pltl-12-0-11-3-0-200004.alaska,['(false R (((X (! p12)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-5-0-4-3-0-200003.alaska,['(false R (((X p3) | (X p1)) | (X (! p5))))'],0,0,0
pltl-5-0-13-3-0-200008.alaska,['(false R (((X (! p2)) | (X (! p4))) | (X (! p5))))'],0,0,0
pltl-12-0-19-3-0-200005.alaska,['(false R (((X (! p4)) | (X (! p2))) | (X (! p12))))'],0,0,0
pltl-5-0-23-3-0-200000.alaska,['(false R (((X (! p3)) | (X p4)) | (X p5)))'],0,0,0
pltl-12-0-39-3-0-200007.alaska,['(false R (((X (! p4)) | (X (! p9))) | (X (! p1))))'],0,0,10
pltl-12-0-30-3-0-200004.alaska,['(false R (((X p9) | (X (! p2))) | (X p7)))'],0,0,0
pltl-12-0-26-3-0-200005.alaska,['(false R (((X (! p7)) | (X (! p2))) | (X p4)))'],0,0,0
pltl-5-0-3-3-0-200001.alaska,['(false R (((X p5) | (X (! p2))) | (X (! p4))))'],0,0,0
unsat16.txt,"['(false R ((! p) | (true U q)))', '(false R ((! q) | s))', '(false R ((! r) | (false R (! s))))', '(false R (true U (r & (false R p))))']",0,0,10
pltl-12-0-39-3-0-200009.alaska,['(false R (((X p4) | (X (! p11))) | (X (! p2))))'],0,0,0
pltl-5-0-2-3-0-200000.alaska,['(false R (((X (! p1)) | (X p2)) | (X p5)))'],0,0,0
pltl-5-0-10-3-0-200007.alaska,['(false R (((X (! p4)) | (X p1)) | (X p2)))'],0,0,0
pltl-5-0-18-3-0-200005.alaska,['(false R (((X p4) | (X p1)) | (X p2)))'],0,0,0
pltl-12-0-4-3-0-200004.alaska,['(false R (((X p4) | (X p11)) | (X p7)))'],0,0,0
pltl-12-0-42-3-0-200001.alaska,['(false R (((X p10) | (X (! p12))) | (X (! p8))))'],0,10,10
pltl-5-0-21-3-0-200006.alaska,['(false R (((X p5) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-12-0-39-3-0-200006.alaska,['(false R (((X (! p8)) | (X (! p5))) | (X (! p11))))'],0,10,0
pltl-12-0-30-3-0-200005.alaska,['(false R (((X p11) | (X p5)) | (X (! p8))))'],0,0,0
unsat211.txt,"['(false R ((! send) | ((! ack) U delivered)))', '(false R ((! ack) & ((! ack) U send)))', '(false R ((! delivered) | ((! send) U ack)))']",0,0,0
pltl-5-0-21-3-0-200001.alaska,['(false R (((X (! p3)) | (X (! p2))) | (X p4)))'],0,0,0
pltl-12-0-1-3-0-200002.alaska,['(false R (((X p2) | (X (! p1))) | (X (! p3))))'],0,0,0
pltl-12-0-47-3-0-200006.alaska,['(false R (((X p1) | (X (! p5))) | (X (! p12))))'],0,10,10
phltl_15_14.alaska,"['(false R (true U p14))', '(false R ((! p14) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X p14))))))))))))))))']",0,240,80
demo-v3_cl_8.alaska,"['(false R (true U req2))', '(false R ((! req2) | (((X grant2) | (X (X grant2))) | (X (X (X grant2))))))']",0,0,0
pltl-12-0-40-3-0-200006.alaska,['(false R (((X p4) | (X (! p8))) | (X (! p5))))'],0,10,10
pltl-5-0-13-3-0-200001.alaska,['(false R (((X p4) | (X (! p1))) | (X (! p3))))'],0,0,0
pltl-12-0-1-3-0-200004.alaska,['(false R (((X (! p8)) | (X (! p11))) | (X (! p3))))'],0,0,0
pltl-12-0-25-3-0-200007.alaska,['(false R (((X (! p1)) | (X p4)) | (X p9)))'],0,0,0
pltl-12-0-24-3-0-200004.alaska,['(false R (((X (! p11)) | (X (! p6))) | (X p4)))'],0,0,0
pltl-5-0-1-3-0-200002.alaska,['(false R (((X p1) | (X p3)) | (X p2)))'],0,0,0
pltl-12-0-37-3-0-200003.alaska,['(false R (((X p1) | (X (! p11))) | (X (! p4))))'],0,0,0
pltl-5-0-5-3-0-200004.alaska,['(false R (((X p5) | (X (! p2))) | (X p4)))'],0,0,0
pltl-5-0-21-3-0-200000.alaska,['(false R (((X (! p1)) | (X (! p4))) | (X p2)))'],0,0,0
pltl-5-0-22-3-0-200008.alaska,['(false R (((X (! p1)) | (X (! p2))) | (X p4)))'],0,0,0
pltl-12-0-5-3-0-200008.alaska,['(false R (((X (! p4)) | (X p11)) | (X p5)))'],0,0,0
pltl-5-0-32-3-0-200001.alaska,['(false R (((X p1) | (X (! p5))) | (X (! p3))))'],0,0,0
pltl-12-0-19-3-0-200002.alaska,['(false R (((X (! p7)) | (X (! p1))) | (X (! p6))))'],0,0,0
pltl-5-0-25-3-0-200007.alaska,['(false R (((X (! p5)) | (X p2)) | (X (! p3))))'],0,0,0
pltl-12-0-2-3-0-200008.alaska,['(false R (((X (! p8)) | (X p9)) | (X (! p10))))'],0,0,0
pltl-12-0-16-3-0-200004.alaska,['(false R (((X p1) | (X p9)) | (X p8)))'],0,0,0
pltl-5-0-32-3-0-200009.alaska,['(false R (((X (! p5)) | (X (! p4))) | (X (! p2))))'],0,0,0
pltl-5-0-40-3-0-200001.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X (! p5))))'],0,0,0
pltl-5-0-22-3-0-200004.alaska,['(false R (((X (! p5)) | (X (! p2))) | (X (! p4))))'],0,0,0
unsat202.txt,"['(false R (send & (((! ack) | (! delivered)) | (! send))))', '(false R ((! send) | ((! ack) U delivered)))', '(false R ((! delivered) | ((! send) U ack)))']",0,0,0
demo-v3_cl_12.alaska,"['(false R (true U req8))', '(false R ((! req8) | (((X grant8) | (X (X grant8))) | (X (X (X grant8))))))']",0,30,0
pltl-12-0-26-3-0-200000.alaska,['(false R (((X p12) | (X (! p7))) | (X p5)))'],0,0,0
pltl-12-0-44-3-0-200005.alaska,['(false R (((X (! p11)) | (X p1)) | (X (! p10))))'],0,10,10
pltl-12-0-1-3-0-200005.alaska,['(false R (((X (! p5)) | (X (! p8))) | (X p7)))'],0,0,0
pltl-5-0-17-3-0-200009.alaska,['(false R (((X (! p3)) | (X (! p2))) | (X (! p5))))'],0,0,0
pltl-12-0-45-3-0-200001.alaska,['(false R (((X p5) | (X p2)) | (X p9)))'],0,0,10
pltl-5-0-21-3-0-200004.alaska,['(false R (((X (! p3)) | (X p1)) | (X (! p5))))'],0,0,0
pltl-12-0-57-3-0-200009.alaska,['(false R (((X p3) | (X p12)) | (X p11)))'],0,10,20
demo-v3_cl_6.alaska,"['(false R (true U req5))', '(false R ((! req5) | (((X grant5) | (X (X grant5))) | (X (X (X grant5))))))']",0,10,0
phltl_16_15.alaska,"['(false R (true U p2))', '(false R ((! p2) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p2)))))))))))))))))']",0,170,110
pltl-12-0-9-3-0-200007.alaska,['(false R (((X p11) | (X p4)) | (X (! p10))))'],0,0,0
pltl-12-0-14-3-0-200007.alaska,['(false R (((X (! p8)) | (X (! p2))) | (X p5)))'],0,0,0
pltl-5-0-30-3-0-200005.alaska,['(false R (((X (! p4)) | (X p2)) | (X (! p1))))'],0,0,0
demo-v3_cl_10.alaska,"['(false R (true U req2))', '(false R ((! req2) | (((X grant2) | (X (X grant2))) | (X (X (X grant2))))))']",0,20,0
pltl-12-0-37-3-0-200004.alaska,['(false R (((X p12) | (X (! p9))) | (X (! p5))))'],0,10,0
pltl-12-0-24-3-0-200006.alaska,['(false R (((X p2) | (X p4)) | (X p5)))'],0,0,0
pltl-5-0-40-3-0-200004.alaska,['(false R (((X p3) | (X p2)) | (X p5)))'],0,0,10
pltl-12-0-59-3-0-200006.alaska,['(false R (((X p12) | (X p11)) | (X p9)))'],0,20,20
pltl-5-0-3-3-0-200000.alaska,['(false R (((X p2) | (X p5)) | (X (! p4))))'],0,0,0
demo-v3_cl_3.alaska,"['(false R (true U req3))', '(false R ((! req3) | (((X grant3) | (X (X grant3))) | (X (X (X grant3))))))']",0,0,0
pltl-12-0-11-3-0-200006.alaska,['(false R (((X p4) | (X p3)) | (X p6)))'],0,0,0
phltl_20_19.alaska,"['(false R (true U p14))', '(false R ((! p14) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p14)))))))))))))))))))))']",0,430,240
pltl-5-0-20-3-0-200009.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],0,0,0
pltl-5-0-5-3-0-200002.alaska,['(false R (((X p4) | (X p5)) | (X (! p3))))'],0,0,0
pltl-12-0-13-3-0-200007.alaska,['(false R (((X (! p5)) | (X p7)) | (X (! p10))))'],0,0,0
pltl-12-0-6-3-0-200000.alaska,['(false R (((X p3) | (X (! p11))) | (X (! p6))))'],0,0,0
pltl-12-0-7-3-0-200008.alaska,['(false R (((X (! p3)) | (X p12)) | (X (! p2))))'],0,0,0
pltl-12-0-49-3-0-200003.alaska,['(false R (((X p9) | (X p6)) | (X p10)))'],0,10,20
pltl-12-0-5-3-0-200001.alaska,['(false R (((X (! p6)) | (X (! p4))) | (X (! p1))))'],0,0,0
pltl-12-0-22-3-0-200006.alaska,['(false R (((X (! p7)) | (X (! p8))) | (X (! p4))))'],0,0,0
pltl-12-0-42-3-0-200007.alaska,['(false R (((X (! p2)) | (X p9)) | (X (! p1))))'],0,10,10
pltl-5-0-1-3-0-200005.alaska,['(false R (((X p4) | (X (! p1))) | (X (! p5))))'],0,0,0
pltl-12-0-6-3-0-200002.alaska,['(false R (((X (! p1)) | (X (! p11))) | (X (! p10))))'],0,0,0
pltl-5-0-40-3-0-200008.alaska,['(false R (((X (! p3)) | (X p2)) | (X p5)))'],0,0,0
pltl-5-0-23-3-0-200001.alaska,['(false R (((X p5) | (X p4)) | (X p2)))'],0,0,0
pltl-12-0-25-3-0-200008.alaska,['(false R (((X p3) | (X (! p6))) | (X (! p7))))'],0,0,0
pltl-12-0-9-3-0-200000.alaska,['(false R (((X p6) | (X (! p3))) | (X (! p5))))'],0,0,0
unsat108.txt,"['(false R ((! h) | (X p)))', '(false R ((false R h) | (false R (m & (true U h)))))']",0,0,0
pltl-5-0-30-3-0-200009.alaska,['(false R (((X (! p2)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-44-3-0-200008.alaska,['(false R (((X (! p5)) | (X p3)) | (X (! p8))))'],0,10,10
pltl-5-0-23-3-0-200004.alaska,['(false R (((X p4) | (X p5)) | (X p2)))'],0,0,0
pltl-5-0-12-3-0-200005.alaska,['(false R (((X (! p5)) | (X (! p1))) | (X p3)))'],0,0,0
pltl-5-0-20-3-0-200000.alaska,['(false R (((X p3) | (X p1)) | (X (! p4))))'],0,0,0
pltl-12-0-24-3-0-200005.alaska,['(false R (((X (! p4)) | (X (! p7))) | (X p8)))'],0,0,0
pltl-5-0-12-3-0-200003.alaska,['(false R (((X (! p3)) | (X p4)) | (X (! p2))))'],0,0,0
pltl-12-0-13-3-0-200002.alaska,['(false R (((X (! p1)) | (X p8)) | (X (! p7))))'],0,0,0
phltl_21_20.alaska,"['(false R (true U p1))', '(false R ((! p1) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p1))))))))))))))))))))))']",0,640,270
pltl-12-0-42-3-0-200002.alaska,['(false R (((X (! p3)) | (X p4)) | (X (! p9))))'],0,0,0
unsat35.txt,['(false R (X ((! l) U ((! l) & (! m)))))'],0,0,0
pltl-12-0-10-3-0-200003.alaska,['(false R (((X p6) | (X p7)) | (X p5)))'],0,0,0
phltl_5_4.alaska,"['(false R (true U p4))', '(false R ((! p4) | (X (X (X (X p4))))))']",0,10,0
pltl-5-0-16-3-0-200003.alaska,['(false R (((X (! p5)) | (X (! p3))) | (X p2)))'],0,0,0
pltl-12-0-16-3-0-200005.alaska,['(false R (((X p11) | (X (! p4))) | (X p8)))'],0,0,0
pltl-12-0-22-3-0-200008.alaska,['(false R (((X (! p11)) | (X p5)) | (X (! p4))))'],0,0,0
pltl-12-0-5-3-0-200007.alaska,['(false R (((X p4) | (X (! p3))) | (X p5)))'],0,0,0
pltl-12-0-33-3-0-200003.alaska,['(false R (((X p5) | (X p11)) | (X p9)))'],0,0,0
pltl-5-0-16-3-0-200008.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-12-0-26-3-0-200004.alaska,['(false R (((X (! p12)) | (X p2)) | (X p4)))'],0,0,0
pltl-5-0-16-3-0-200004.alaska,['(false R (((X (! p3)) | (X p5)) | (X p2)))'],0,0,0
pltl-5-0-23-3-0-200007.alaska,['(false R (((X p5) | (X p3)) | (X (! p1))))'],0,0,0
pltl-12-0-2-3-0-200006.alaska,['(false R (((X (! p3)) | (X p5)) | (X p12)))'],0,0,0
pltl-12-0-13-3-0-200004.alaska,['(false R (((X p5) | (X (! p7))) | (X (! p1))))'],0,0,0
pltl-12-0-33-3-0-200002.alaska,['(false R (((X (! p12)) | (X p6)) | (X p8)))'],0,10,0
pltl-12-0-16-3-0-200009.alaska,['(false R (((X p5) | (X (! p1))) | (X (! p2))))'],0,0,0
pltl-12-0-44-3-0-200006.alaska,['(false R (((X (! p4)) | (X p7)) | (X p2)))'],0,10,10
pltl-12-0-40-3-0-200008.alaska,['(false R (((X (! p3)) | (X p6)) | (X (! p12))))'],0,10,0
pltl-5-0-11-3-0-200008.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X (! p4))))'],0,0,0
pltl-5-0-22-3-0-200001.alaska,['(false R (((X (! p2)) | (X p1)) | (X p4)))'],0,0,0
pltl-12-0-10-3-0-200002.alaska,['(false R (((X (! p3)) | (X (! p11))) | (X p7)))'],0,0,0
pltl-12-0-38-3-0-200009.alaska,['(false R (((X (! p10)) | (X (! p7))) | (X (! p12))))'],0,0,0
pltl-5-0-2-3-0-200005.alaska,['(false R (((X p5) | (X (! p3))) | (X (! p1))))'],0,0,0
phltl_14_13.alaska,"['(false R (true U p6))', '(false R ((! p6) | (X (X (X (X (X (X (X (X (X (X (X (X (X p6)))))))))))))))']",0,110,70
pltl-12-0-40-3-0-200003.alaska,['(false R (((X p2) | (X p4)) | (X p10)))'],0,0,0
pltl-5-0-18-3-0-200001.alaska,['(false R (((X p2) | (X p4)) | (X (! p1))))'],0,0,0
pltl-5-0-18-3-0-200002.alaska,['(false R (((X p5) | (X (! p4))) | (X (! p1))))'],0,0,0
pltl-12-0-9-3-0-200009.alaska,['(false R (((X (! p1)) | (X (! p4))) | (X (! p5))))'],0,0,0
pltl-12-0-22-3-0-200003.alaska,['(false R (((X p4) | (X (! p6))) | (X p3)))'],0,0,0
pltl-12-0-30-3-0-200008.alaska,['(false R (((X (! p9)) | (X (! p5))) | (X (! p1))))'],0,0,0
pltl-12-0-9-3-0-200008.alaska,['(false R (((X p2) | (X (! p10))) | (X (! p4))))'],0,0,0
pltl-12-0-30-3-0-200002.alaska,['(false R (((X p3) | (X (! p10))) | (X (! p9))))'],0,0,0
pltl-12-0-37-3-0-200005.alaska,['(false R (((X (! p7)) | (X (! p9))) | (X p4)))'],0,0,0
pltl-12-0-1-3-0-200001.alaska,['(false R (((X (! p3)) | (X p12)) | (X (! p8))))'],0,0,0
pltl-5-0-18-3-0-200004.alaska,['(false R (((X p5) | (X p3)) | (X p4)))'],0,0,0
pltl-12-0-14-3-0-200003.alaska,['(false R (((X p7) | (X (! p6))) | (X p8)))'],0,0,0
pltl-12-0-53-3-0-200000.alaska,['(false R (((X p5) | (X p4)) | (X (! p8))))'],0,10,10
pltl-5-0-16-3-0-200007.alaska,['(false R (((X p3) | (X (! p2))) | (X p5)))'],0,0,0
pltl-5-0-17-3-0-200007.alaska,['(false R (((X p3) | (X p1)) | (X (! p2))))'],0,0,0
pltl-5-0-3-3-0-200005.alaska,['(false R (((X p5) | (X p3)) | (X (! p4))))'],0,0,0
pltl-12-0-39-3-0-200003.alaska,['(false R (((X p1) | (X (! p11))) | (X p7)))'],0,10,10
pltl-5-0-3-3-0-200006.alaska,['(false R (((X (! p2)) | (X p4)) | (X (! p1))))'],0,0,0
pltl-12-0-25-3-0-200001.alaska,['(false R (((X (! p7)) | (X p8)) | (X (! p5))))'],0,0,0
pltl-5-0-5-3-0-200007.alaska,['(false R (((X p4) | (X p5)) | (X p2)))'],0,0,0
pltl-5-0-10-3-0-200004.alaska,['(false R (((X (! p4)) | (X (! p2))) | (X p1)))'],0,0,0
pltl-5-0-4-3-0-200005.alaska,['(false R (((X p5) | (X (! p3))) | (X p2)))'],0,0,0
pltl-5-0-13-3-0-200002.alaska,['(false R (((X (! p4)) | (X p1)) | (X (! p3))))'],0,0,0
pltl-12-0-47-3-0-200001.alaska,['(false R (((X (! p7)) | (X (! p9))) | (X (! p8))))'],0,10,10
unsat208.txt,"['(false R ((! send) | ((! ack) U delivered)))', '(false R (send & ((! delivered) | ((! delivered) U (! ack)))))', '(false R ((! delivered) | ((! send) U ack)))']",0,0,0
pltl-12-0-2-3-0-200003.alaska,['(false R (((X (! p8)) | (X p11)) | (X (! p1))))'],0,0,0
pltl-12-0-38-3-0-200001.alaska,['(false R (((X (! p1)) | (X p11)) | (X p10)))'],0,0,10
pltl-5-0-12-3-0-200004.alaska,['(false R (((X (! p5)) | (X (! p3))) | (X p2)))'],0,0,0
pltl-12-0-24-3-0-200007.alaska,['(false R (((X (! p6)) | (X (! p1))) | (X (! p8))))'],0,0,0
unsat74.txt,"['(false R (h | (! n)))', '(false R ((((! c) | (! m)) | (! n)) | d))', '(false R ((((! h) & i) R (((! h) & i) | (a & (true U ((c & (! d)) & i))))) R ((X ((c & d) & (! n))) | (((! h) & i) R (((! h) & i) | (a & (true U ((c & (! d)) & i))))))))', '(false R ((! a) | m))', '(false R (n | (! i)))']",0,0,0
pltl-12-0-26-3-0-200003.alaska,['(false R (((X p9) | (X p1)) | (X p8)))'],0,0,0
pltl-5-0-18-3-0-200008.alaska,['(false R (((X p1) | (X p2)) | (X (! p4))))'],0,0,0
pltl-5-0-20-3-0-200005.alaska,['(false R (((X (! p4)) | (X (! p3))) | (X p1)))'],0,0,0
pltl-5-0-10-3-0-200002.alaska,['(false R (((X (! p5)) | (X (! p2))) | (X p4)))'],0,0,0
pltl-12-0-40-3-0-200009.alaska,['(false R (((X p5) | (X p12)) | (X p4)))'],0,0,0
pltl-12-0-12-3-0-200006.alaska,['(false R (((X p4) | (X p1)) | (X p5)))'],0,0,0
pltl-5-0-32-3-0-200008.alaska,['(false R (((X p3) | (X (! p5))) | (X (! p2))))'],0,0,0
pltl-12-0-4-3-0-200002.alaska,['(false R (((X p1) | (X (! p9))) | (X (! p10))))'],0,0,0
pltl-5-0-20-3-0-200003.alaska,['(false R (((X p4) | (X (! p1))) | (X (! p3))))'],0,0,0
pltl-12-0-49-3-0-200002.alaska,['(false R (((X p7) | (X (! p6))) | (X p1)))'],0,10,10
pltl-5-0-25-3-0-200005.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-12-0-13-3-0-200001.alaska,['(false R (((X (! p7)) | (X (! p5))) | (X (! p11))))'],0,0,0
pltl-12-0-24-3-0-200001.alaska,['(false R (((X p4) | (X p8)) | (X (! p10))))'],0,0,0
pltl-12-0-10-3-0-200000.alaska,['(false R (((X p12) | (X p9)) | (X p8)))'],0,0,0
pltl-12-0-1-3-0-200006.alaska,['(false R (((X (! p5)) | (X p9)) | (X (! p7))))'],0,0,0
pltl-12-0-40-3-0-200001.alaska,['(false R (((X p9) | (X p11)) | (X p3)))'],0,10,10
pltl-12-0-37-3-0-200009.alaska,['(false R (((X p10) | (X p8)) | (X p5)))'],0,0,0
pltl-12-0-33-3-0-200004.alaska,['(false R (((X (! p5)) | (X (! p9))) | (X p2)))'],0,10,0
pltl-5-0-3-3-0-200007.alaska,['(false R (((X (! p4)) | (X (! p3))) | (X (! p2))))'],0,0,0
pltl-12-0-4-3-0-200008.alaska,['(false R (((X p1) | (X p10)) | (X (! p6))))'],0,0,0
pltl-5-0-1-3-0-200008.alaska,['(false R (((X (! p2)) | (X (! p5))) | (X (! p4))))'],0,0,0
pltl-12-0-39-3-0-200004.alaska,['(false R (((X (! p5)) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-5-0-4-3-0-200006.alaska,['(false R (((X (! p5)) | (X (! p4))) | (X p1)))'],0,0,0
pltl-12-0-1-3-0-200009.alaska,['(false R (((X (! p2)) | (X (! p3))) | (X (! p8))))'],0,0,0
pltl-12-0-19-3-0-200003.alaska,['(false R (((X (! p10)) | (X p7)) | (X p8)))'],0,0,0
pltl-5-0-22-3-0-200007.alaska,['(false R (((X p3) | (X (! p2))) | (X (! p1))))'],0,0,0
pltl-5-0-1-3-0-200006.alaska,['(false R (((X p5) | (X p2)) | (X p3)))'],0,0,0
pltl-12-0-25-3-0-200005.alaska,['(false R (((X p12) | (X (! p8))) | (X (! p10))))'],0,0,0
phltl_28_27.alaska,"['(false R (true U p14))', '(false R ((! p14) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p14)))))))))))))))))))))))))))))']",0,4530,1410
unsat40.txt,"['(false R (l | ((! m) & (X (! l)))))', '(false R ((! l) | (true U (! l))))']",0,0,0
pltl-12-0-42-3-0-200003.alaska,['(false R (((X (! p8)) | (X p4)) | (X (! p1))))'],0,10,10
pltl-12-0-7-3-0-200003.alaska,['(false R (((X p12) | (X (! p10))) | (X (! p7))))'],0,0,0
pltl-5-0-19-3-0-200005.alaska,['(false R (((X p3) | (X (! p2))) | (X p1)))'],0,0,0
phltl_22_21.alaska,"['(false R (true U p1))', '(false R ((! p1) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p1)))))))))))))))))))))))']",0,660,410
pltl-5-0-18-3-0-200007.alaska,['(false R (((X p1) | (X (! p2))) | (X p4)))'],0,0,0
pltl-12-0-9-3-0-200002.alaska,['(false R (((X (! p10)) | (X (! p2))) | (X (! p7))))'],0,0,0
pltl-12-0-10-3-0-200009.alaska,['(false R (((X (! p3)) | (X (! p11))) | (X (! p1))))'],0,0,0
pltl-12-0-38-3-0-200005.alaska,['(false R (((X (! p7)) | (X (! p3))) | (X p1)))'],0,0,10
